state,x,y
Alabama,138,-88
Alaska,-209,-170
Arizona,-212,-55
Arkansas,55,-49
California,-298,-3
Colorado,-114,26
Connecticut,294,94
Delaware,284,41
Florida,221,-148
Georgia,188,-80
Hawaii,-307,-140
Idaho,-207,114
Illinois,95,46
Indiana,133,50
Iowa,43,70
Kansas,-21,12
Kentucky,143,1
Louisiana,57,-96
Maine,322,170
Maryland,257,50
Massachusetts,322,94
Michigan,148,96
Minnesota,30,152
Mississippi,97,-83
Missouri,57,-0
Montana,-139,162
Nebraska,-32,64
Nevada,-253,58
New Hampshire,318,126
New Jersey,300,60
New Mexico,-132,-47
New York,245,105
North Carolina,217,-18
North Dakota,-38,159
Ohio,171,58
Oklahoma,-14,-37
Oregon,-295,140
Pennsylvania,225,71
Rhode Island,318,80
South Carolina,213,-46
South Dakota,-45,112
Tennessee,124,-28
Texas,-35,-104
Utah,-190,36
Vermont,282,161
Virginia,232,12
Washington,-273,189
West Virginia,200,29
Wisconsin,67,124
Wyoming,-143,95